name,Lr,Lx,ledd,M,M_err,Rs_km,spin,spin_meas,tier,phi_low,phi_mid,phi_high
H1743-322,1.1869399999999999e+29,3.9400679999999996e+35,0.0007817595238095238,8.0,2.0,23.632061891928796,0.2,True,silver,17.117748892591678,38.27645014560674,76.55290029121348
H1743-322,2.2590159999999997e+29,4.728082e+36,0.00938111507936508,8.0,2.0,23.632061891928796,0.2,True,silver,11.54237156972155,25.809527451458337,51.61905490291667
H1743-322,1.68469e+29,9.814351e+36,0.01947291865079365,8.0,2.0,23.632061891928796,0.2,True,silver,7.339706269086877,16.41208215255962,32.82416430511924
H1743-322,1.9909969999999997e+29,7.092122e+36,0.014071670634920635,8.0,2.0,23.632061891928796,0.2,True,silver,9.158565821086109,20.479175752354717,40.958351504709434
H1743-322,1.837843e+29,5.229545e+36,0.01037608134920635,8.0,2.0,23.632061891928796,0.2,True,silver,10.368468363848079,23.184600084120326,46.36920016824065
H1743-322,1.7229779999999998e+29,4.359005e+36,0.008648819444444445,8.0,2.0,23.632061891928796,0.2,True,silver,10.705318905253508,23.937820792960473,47.875641585920945
H1743-322,2.144151e+29,3.6678450000000003e+36,0.007277470238095239,8.0,2.0,23.632061891928796,0.2,True,silver,12.074371102603767,26.999114570981114,53.99822914196223
H1743-322,8.806333e+28,2.4929879999999997e+35,0.0004946404761904761,8.0,2.0,23.632061891928796,0.2,True,silver,17.273863216540203,38.62553238621707,77.25106477243413
H1743-322,8.040564e+28,1.6906469999999998e+35,0.0003354458333333333,8.0,2.0,23.632061891928796,0.2,True,silver,18.433681538421823,41.2189649954941,82.4379299909882
H1743-322,8.806333e+28,8.023410999999999e+34,0.0001591946626984127,8.0,2.0,23.632061891928796,0.2,True,silver,22.933997637070892,51.281977712310066,102.56395542462013
H1743-322,1.1869399999999999e+29,4.298256e+34,8.528285714285714e-05,8.0,2.0,23.632061891928796,0.2,True,silver,29.78513075851546,66.60157709476046,133.20315418952092
H1743-322,6.509028e+28,2.005853e+34,3.979867063492064e-05,8.0,2.0,23.632061891928796,0.2,True,silver,29.15150599458356,65.18474905038146,130.3694981007629
H1743-322,4.977492e+28,2.005853e+34,3.979867063492064e-05,8.0,2.0,23.632061891928796,0.2,True,silver,26.518037665083288,59.29613484902603,118.59226969805206
H1743-322,2.680188e+28,3.152054e+33,6.254075396825397e-06,8.0,2.0,23.632061891928796,0.2,True,silver,33.85175317620532,75.69482125953951,151.38964251907902
H1743-322,6.662181999999999e+29,1.5043900000000001e+37,0.02984900793650794,8.0,2.0,23.632061891928796,0.2,True,silver,9.630951446620625,21.535462122643658,43.070924245287316
H1743-322,9.725254e+29,1.647665e+37,0.03269176587301587,8.0,2.0,23.632061891928796,0.2,True,silver,10.517141202924849,23.517042658703872,47.034085317407744
H1743-322,9.304082e+29,1.7049749999999999e+37,0.033828869047619045,8.0,2.0,23.632061891928796,0.2,True,silver,10.178575581400446,22.75998691413084,45.51997382826168
H1743-322,9.11264e+29,1.7336300000000001e+37,0.034397420634920635,8.0,2.0,23.632061891928796,0.2,True,silver,10.020306118083257,22.406085635391197,44.81217127078239
H1743-322,3.59911e+29,9.642421e+36,0.0191317876984127,8.0,2.0,23.632061891928796,0.2,True,silver,9.679933056225437,21.644988331367376,43.28997666273475
